max_depth,n_estimators,learning_rate,avg_brier,avg_auc,n_folds
1,600,0.03,0.2153458685957214,0.7151415632021487,5
3,300,0.03,0.21537044557630045,0.7148657309212192,5
1,300,0.1,0.21537275203003975,0.7147390992186706,5
1,300,0.03,0.21557472823051996,0.7148828935644378,5
1,600,0.1,0.21558894825406552,0.714035058989435,5
3,600,0.03,0.21570383647025718,0.7135112980250089,5
5,300,0.03,0.2159067651063303,0.7127838236366784,5
3,300,0.1,0.21630559445288805,0.7112102809953761,5
7,300,0.03,0.2168369467392826,0.7095031700832246,5
5,600,0.03,0.21697768226628003,0.709033843302207,5
3,600,0.1,0.21769463684938617,0.7064648745053226,5
5,300,0.1,0.2184760091935057,0.7037148326713798,5
7,600,0.03,0.21869720129544507,0.7031650774535787,5
7,300,0.1,0.2207160581977071,0.696115357276174,5
5,600,0.1,0.22128773359057133,0.6942032242885727,5
7,600,0.1,0.2241578123328057,0.6845618019631203,5
